+--------+--------+--------+--------+--------+--------+--------+--------+--------+--------+--------+--------+--------+--------+--------+--------+--------+--------+--------+--------+--------+--------+
| CYCLE  | FETCH  | DECODE | EXECUT | MEMORY | WRITE  |   r0   |   r1   |   r2   |   r3   |   r4   |   r5   |   r6   |   r7   |   r8   |   r9   |  r10   |  r11   |  r12   |  r13   |   sp   |   ra   |
|     72 | I91    | I90    | I89    | I88    | I87    |       0|       0|       0|       0|       0|       8|       0|       0|       0|       0|       0|       0|       0|       0|    fffc|       0|
|     73 | I91    |  ....  |  ....  | I89    | I88    |       0|       0|       0|       0|       0|       8|       0|       0|       0|       0|       0|       0|       0|       0|    fffc|       0|
|     74 | I92    | I91    |  ....  |  ....  | I89    |       0|       0|       0|       0|       0|       8|       0|       0|       0|       0|       0|       0|       0|       0|       0|       0|
|     75 | I93    | I92    | I91    |  ....  |  ....  |       0|       0|       0|       0|       0|       8|       0|       0|       0|       0|       0|       0|       0|       0|       0|       0|
|     76 | I93    | I92    |  ....  | I91    |  ....  |       0|       0|       0|       0|       0|       8|       0|       0|       0|       0|       0|       0|       0|       0|       0|       0|
|     77 | I93    | I92    |  ....  |  ....  | I91    |       0|       0|       0|       0|       0|       8|       0|       0|       0|       0|       0|       0|       0|       0|       0|       0|
|     78 | I93    | I92    |  ....  |  ....  |  ....  |       0|       0|       0|       0|       9|       8|       0|       0|       0|       0|       0|       0|       0|       0|       0|       0|
|     79 | I94    | I93    | I92    |  ....  |  ....  |       0|       0|       0|       0|       9|       8|       0|       0|       0|       0|       0|       0|       0|       0|       0|       0|
|     80 | I2     |  ....  |  ....  | I92    |  ....  |       0|       0|       0|       0|       9|       8|       0|       0|       0|       0|       0|       0|       0|       0|       0|       0|
|     81 | I3     | I2     |  ....  |  ....  | I92    |       0|       0|       0|       0|       9|       8|       0|       0|       0|       0|       0|       0|       0|       0|       0|       0|
|     82 | I4     | I3     | I2     |  ....  |  ....  |       0|       0|       0|       0|       0|       8|       0|       0|       0|       0|       0|       0|       0|       0|       0|       0|
|     83 | I4     |  ....  |  ....  | I2     |  ....  |       0|       0|       0|       0|       0|       8|       0|       0|       0|       0|       0|       0|       0|       0|       0|       0|
|     84 | I5     | I4     |  ....  |  ....  | I2     |       0|       0|       0|       0|       0|       8|       0|       0|       0|       0|       0|       0|       0|       0|       0|       0|
|     85 | I6     | I5     | I4     |  ....  |  ....  |       0|       0|       0|       0|       0|       8|       0|       0|       0|       0|       0|       0|       0|       0|       0|       0|
|     86 | I7     | I6     | I5     | I4     |  ....  |       0|       0|       0|       0|       0|       8|       0|       0|       0|       0|       0|       0|       0|       0|       0|       0|
|     87 | I7     | I6     |  ....  | I5     | I4     |       0|       0|       0|       0|       0|       8|       0|       0|       0|       0|       0|       0|       0|       0|       0|       0|
|     88 | I7     | I6     |  ....  |  ....  | I5     |       0|       0|       0|       0|       0|       8|       0|       0|       0|       0|       0|       0|       0|       0|       0|       0|
|     89 | I7     | I6     |  ....  |  ....  |  ....  |       0|       0|       0|       0|       0|       8|       0|       0|       0|       0|       0|       0|       0|       0|    fffc|       0|
|     90 | I8     | I7     | I6     |  ....  |  ....  |       0|       0|       0|       0|       0|       8|       0|       0|       0|       0|       0|       0|       0|       0|    fffc|       0|
|     91 | I9     | I8     | I7     | I6     |  ....  |       0|       0|       0|       0|       0|       8|       0|       0|       0|       0|       0|       0|       0|       0|    fffc|       0|
|     92 | I10    | I9     | I8     | I7     | I6     |       0|       0|       0|       0|       0|       8|       0|       0|       0|       0|       0|       0|       0|       0|    fffc|       0|
|     93 | I11    | I10    | I9     | I8     | I7     |       0|       0|       0|       0|       0|       8|       0|       0|       0|       0|       0|       0|       0|       0|    fffc|       0|
|     94 | I12    | I11    | I10    | I9     | I8     |       0|       0|       0|       0|       0|       8|       0|       0|       0|       0|       0|       0|       0|       0|    fffc|       0|
|     95 | I13    | I12    | I11    | I10    | I9     |       0|       0|       0|       0|       0|       8|       0|       0|       0|       0|       0|       0|       0|       0|    fffc|       0|
|     96 | I14    | I13    | I12    | I11    | I10    |       0|       0|       0|       0|       0|       8|       0|       0|       0|       0|       0|       0|       0|       0|    fffc|       0|
|     97 | I15    | I14    | I13    | I12    | I11    |       0|       0|       0|       0|       0|       8|       0|       0|       0|       0|       0|       0|       0|       0|    fffc|       0|
|     98 | I16    | I15    | I14    | I13    | I12    |       0|       0|       0|       0|       0|       8|       0|       0|       0|       0|       0|       0|       0|       0|    fffc|       0|
|     99 | I17    | I16    | I15    | I14    | I13    |       0|       0|       0|       0|       0|       8|       0|       0|       0|       0|       0|       0|       0|       0|    fffc|       0|
|    100 | I18    | I17    | I16    | I15    | I14    |       0|       0|       0|       0|       0|       8|       0|       0|       0|       0|       0|       0|       0|       0|    fffc|       0|
|    101 | I19    | I18    | I17    | I16    | I15    |       0|       0|       0|       0|       0|       8|       0|       0|       0|       0|       0|       0|       0|       0|    fffc|       0|
|    102 | I20    | I19    | I18    | I17    | I16    |       0|       0|       0|       0|       0|       8|       0|       0|       0|       0|       0|       0|       0|       0|    fffc|       0|
|    103 | I21    | I20    | I19    | I18    | I17    |       0|       0|       0|       0|       0|       8|       0|       0|       0|       0|       0|       0|       0|       0|    fffc|       0|
|    104 | I22    | I21    | I20    | I19    | I18    |       0|       0|       0|       0|       0|       8|       0|       0|       0|       0|       0|       0|       0|       0|    fffc|       0|
|    105 | I23    | I22    | I21    | I20    | I19    |       0|       0|       0|       0|       0|       8|       0|       0|       0|       0|       0|       0|       0|       0|    fffc|       0|
|    106 | I23    | I22    |  ....  | I21    | I20    |       0|       0|       0|       0|       0|       8|       0|       0|       0|       0|       0|       0|       0|       0|    fffc|       0|
|    107 | I23    | I22    |  ....  |  ....  | I21    |       0|       0|       0|       0|       0|       8|       0|       0|       0|       0|       0|       0|       0|       0|    fffc|       0|
|    108 | I23    | I22    |  ....  |  ....  |  ....  |       0|       0|       0|       0|       0|       8|       0|       0|       0|       0|       0|       0|       0|       0|    fffc|       0|
|    109 | I24    | I23    | I22    |  ....  |  ....  |       0|       0|       0|       0|       0|       8|       0|       0|       0|       0|       0|       0|       0|       0|    fffc|       0|
|    110 | I25    | I24    | I23    | I22    |  ....  |       0|       0|       0|       0|       0|       8|       0|       0|       0|       0|       0|       0|       0|       0|    fffc|       0|
|    111 | I25    | I24    |  ....  | I23    | I22    |       0|       0|       0|       0|       0|       8|       0|       0|       0|       0|       0|       0|       0|       0|    fffc|       0|
|    112 | I25    | I24    |  ....  |  ....  | I23    |       0|       0|       0|       0|       0|       8|       0|       0|       0|       0|       0|       0|       0|       0|    fffc|       0|
|    113 | I25    | I24    |  ....  |  ....  |  ....  |       0|       0|       0|       0|       0|       8|       0|       0|       0|       0|       0|       0|       0|       0|    fffc|       0|
|    114 | I26    | I25    | I24    |  ....  |  ....  |       0|       0|       0|       0|       0|       8|       0|       0|       0|       0|       0|       0|       0|       0|    fffc|       0|
|    115 | I27    | I26    | I25    | I24    |  ....  |       0|       0|       0|       0|       0|       8|       0|       0|       0|       0|       0|       0|       0|       0|    fffc|       0|
|    116 | I27    | I26    |  ....  | I25    | I24    |       0|       0|       0|       0|       0|       8|       0|       0|       0|       0|       0|       0|       0|       0|    fffc|       0|
|    117 | I27    | I26    |  ....  |  ....  | I25    |       0|       0|       0|       0|       0|       8|       0|       0|       0|       0|       0|       0|       0|       0|    fffc|       0|
|    118 | I27    | I26    |  ....  |  ....  |  ....  |       0|       0|       0|       0|       0|       8|       0|       0|       0|       0|       0|       0|       0|       0|    fffc|       0|
|    119 | I28    | I27    | I26    |  ....  |  ....  |       0|       0|       0|       0|       0|       8|       0|       0|       0|       0|       0|       0|       0|       0|    fffc|       0|
|    120 | I29    | I28    | I27    | I26    |  ....  |       0|       0|       0|       0|       0|       8|       0|       0|       0|       0|       0|       0|       0|       0|    fffc|       0|
|    121 | I29    | I28    |  ....  | I27    | I26    |       0|       0|       0|       0|       0|       8|       0|       0|       0|       0|       0|       0|       0|       0|    fffc|       0|
|    122 | I29    | I28    |  ....  |  ....  | I27    |       0|       0|       0|       0|       0|       8|       0|       0|       0|       0|       0|       0|       0|       0|    fffc|       0|
|    123 | I29    | I28    |  ....  |  ....  |  ....  |       0|       0|       0|       0|       0|       8|       0|       0|       0|       0|       0|       0|       0|       0|    ffb4|       0|
|    124 | I30    | I29    | I28    |  ....  |  ....  |       0|       0|       0|       0|       0|       8|       0|       0|       0|       0|       0|       0|       0|       0|    ffb4|       0|
